S. No,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,Promotional Platforms,Others ,Designation,Year of Graduation,City,CGPA,CGPA Category,Experience with python (Months),Python Experience Level,Family Income,Expected salary (Lac),Expected Salary Category,Leadership- skills
115,Dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Others,Others,College,Students,2025,Jaipur,7.9,7.1-8.0,4,Beginner,0-2 Lakh,17,10-20LPA,no
116,Himanshu,himanshu@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Youtube | Facebook | Instagram | Whatsapp | Email,Youtube ,,Students,2023,Jhalwar,7.6,7.1-8.0,7,Expert,0-2 Lakh,13,10-20LPA,no
117,Anushka,anushka@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Email,Email,,Students,2025,Jodhpur,9.3,9.1-10,5,Intermediate,0-2 Lakh,11,10-20LPA,no
118,Aaron,aaron@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Email,Email,,Students,2023,Sikar,6.6,6.0 - 7.0,3,Beginner,0-2 Lakh,10,5-10 LPA,yes
119,Darsh,darsh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Email,Email,,Students,2023,Gangtok,7.8,7.1-8.0,7,Expert,2-5 Lakh,10,5-10 LPA,no 
120,Rajkumar,rajkumar@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Email | Others,Email ,College,Students,2026,Hyderbad,8.7,8.1-9.0,4,Beginner,0-2 Lakh,15,10-20LPA,no 
121,Rushikesh ,rushikesh@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Nizambad,7.2,7.1-8.0,7,Expert,0-2 Lakh,12,10-20LPA,yes
122,Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Not Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Email,Email,,Students,2025,Agartala,7.1,7.1-8.0,3,Beginner,0-2 Lakh,20,10-20LPA,yes
123,Mona ,mona@xyz.com,1,Art of Resume Building,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",Whatsapp,Whatsapp,,Students,2024,Agra,8,7.1-8.0,7,Expert,0-2 Lakh,21,20-40LPA,no
124,Chetan ,chetan@xyz.com,1,Art of Resume Building,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Email,Email,,Students,2024,Aligarh,8.5,8.1-9.0,7,Expert,0-2 Lakh,9,5-10 LPA,no
125,Apurva,apurva@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2023,Gonda,8.5,8.1-9.0,7,Expert,0-2 Lakh,9,5-10 LPA,no
126,Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Email,Email,,Students,2023,Ghazipur,9.1,9.1-10,3,Beginner,0-2 Lakh,8,5-10 LPA,yes
127,Aditya,aditya@xyz.com,1,Art of Resume Building,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2026,Ghaziabad,9.7,9.1-10,4,Beginner,0-2 Lakh,7,5-10 LPA,no
128,Vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,Silicon Institute Of Technology,Email,Email,,Students,2024,Gonda,8.7,8.1-9.0,7,Expert,0-2 Lakh,21,20-40LPA,no
129,Swapnali,swapnali@xyz.com,1,Art of Resume Building,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Gorakhpur,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,5,5-10 LPA,no
130,Manish,manish@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2025,Hamirpur,8.8,8.1-9.0,5,Intermediate,0-2 Lakh,16,10-20LPA,no
131,Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,Pillai College Of Engineering New Panvel,Whatsapp,Whatsapp,,Students,2023,Deoria,9.3,9.1-10,7,Expert,0-2 Lakh,21,20-40LPA,no
132,Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2023,Budaun,7.6,7.1-8.0,4,Beginner,0-2 Lakh,8,5-10 LPA,yes
133,Sanket,sanket@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Email,Email,,Students,2024,Mathura,9.2,9.1-10,5,Intermediate,0-2 Lakh,13,10-20LPA,yes
134,Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn | Whatsapp,LinkedIn ,,Students,2023,Mainpuri,7.3,7.1-8.0,7,Expert,0-2 Lakh,24,20-40LPA,yes
135,Harshal,harshal@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Email,Email,,Students,2025,Varanasi,7.6,7.1-8.0,7,Expert,0-2 Lakh,17,10-20LPA,no
136,Abhishek ,abhishek@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Email,Email,,Students,2023,Almora,7.1,7.1-8.0,7,Expert,0-2 Lakh,11,10-20LPA,no
137,Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Email,Email,,Students,2025,Alipore,8.3,8.1-9.0,3,Beginner,0-2 Lakh,21,20-40LPA,no
138,Rushikesh,rushikesh@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2024,Haora,9.2,9.1-10,3,Beginner,0-2 Lakh,8,5-10 LPA,yes
139,Priyanka ,priyanka@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Others,Others,College,Students,2023,Hugli,9.3,9.1-10,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
140,Vishal,vishal@xyz.com,1,Art of Resume Building,Not Attending,St.Francis Institute Of Technology,Youtube | Facebook,Youtube ,,Students,2023,Palashi,7.3,7.1-8.0,4,Beginner,0-2 Lakh,21,20-40LPA,no
141,Pratik,pratik@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2024,Santipur,7.4,7.1-8.0,3,Beginner,0-2 Lakh,30,20-40LPA,yes
142,Pramod,pramod@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Siliguri,8.3,8.1-9.0,4,Beginner,0-2 Lakh,24,20-40LPA,yes
143,Samiksha,samiksha@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute Of Technology, Pune",Others,Others,College,Students,2023,Silguri,7.4,7.1-8.0,3,Beginner,0-2 Lakh,8,5-10 LPA,no 
144,Rucha,rucha@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2026,Siuri,6.7,6.0 - 7.0,3,Beginner,0-2 Lakh,19,10-20LPA,no 
145,Darshan ,darshan@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2025,Talmuk,9.7,9.1-10,7,Expert,0-2 Lakh,17,10-20LPA,yes
146,Ankita,ankita@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2024,Siuri,7.9,7.1-8.0,7,Expert,0-2 Lakh,18,10-20LPA,no
147,Hemant,hemant@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp,Whatsapp,,Students,2023,Titagrah,7.2,7.1-8.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
148,Ritik ,ritik@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2023,Orchha,7.1,7.1-8.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no
149,Snehal,snehal@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2025,Sagar,8.7,8.1-9.0,4,Beginner,0-2 Lakh,8,5-10 LPA,yes
150,Vedant,vedant@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2024,Satna,8.7,8.1-9.0,7,Expert,0-2 Lakh,8,5-10 LPA,no
151,Philip,philip@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Email,Email,,Students,2026,Vidisha,6.8,6.0 - 7.0,5,Intermediate,0-2 Lakh,6,5-10 LPA,no
152,Vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Email | Cloud Counselage Website,Email ,,Students,2023,Akola,7.1,7.1-8.0,7,Expert,0-2 Lakh,7,5-10 LPA,no
153,Riya,riya@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Email,Email,,Students,2023,Aurangabad,8.5,8.1-9.0,3,Beginner,0-2 Lakh,7,5-10 LPA,no
154,Priyanka,priyanka@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Email,Email,,Students,2025,Bhandara,9.1,9.1-10,7,Expert,0-2 Lakh,28,20-40LPA,yes
155,Vishal,vishal@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Others,Others,College,Students,2023,Dhule,8.2,8.1-9.0,3,Beginner,0-2 Lakh,7,5-10 LPA,yes
156,Payal ,payal@xyz.com,1,Art of Resume Building,Attending,N/A,Email,Email,,Students,2023,Mumbai,7.4,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,yes
157,Akanksha,akanksha@xyz.com,1,Art of Resume Building,Attending,N/A,Email,Email,,Students,2023,Nagpur,7.3,7.1-8.0,5,Intermediate,0-2 Lakh,11,10-20LPA,no
158,Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,N/A,Email,Email,,Students,2025,Nanded,8.6,8.1-9.0,7,Expert,0-2 Lakh,20,10-20LPA,no
159,Ajinkya,ajinkya@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Amritsar,7.8,7.1-8.0,3,Beginner,0-2 Lakh,7,5-10 LPA,no
160,Sapana,sapana@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2024,Patiala,7.9,7.1-8.0,7,Expert,0-2 Lakh,9,5-10 LPA,no
161,Akanksha,akanksha@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp,Whatsapp,,Students,2026,Ajmer,8.1,8.1-9.0,7,Expert,0-2 Lakh,8,5-10 LPA,yes
162,Mahesh,mahesh@xyz.com,1,Art of Resume Building,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",Email,Email,,Students,2023,Amer,9.5,9.1-10,4,Beginner,0-2 Lakh,9,5-10 LPA,no 
163,Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Whatsapp,Whatsapp,,Students,2025,Barmer,9.8,9.1-10,3,Beginner,0-2 Lakh,13,10-20LPA,no 
164,Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2026,Jodhpur,7.2,7.1-8.0,4,Beginner,0-2 Lakh,20,10-20LPA,no
165,Sunny,sunny@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2023,Kota,9.5,9.1-10,4,Beginner,0-2 Lakh,20,10-20LPA,yes
166,Kajal ,kajal@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2025,Sikar,8.4,8.1-9.0,4,Beginner,0-2 Lakh,16,10-20LPA,no
167,Sanika,sanika@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Email,Email,,Students,2023,Ahemdabad,9.9,9.1-10,7,Expert,0-2 Lakh,16,10-20LPA,no
168,Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Email,Email,,Students,2024,Dwarka,6.7,6.0 - 7.0,7,Expert,0-2 Lakh,9,5-10 LPA,no
169,Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Email,Email,,Students,2025,Godhra,7.6,7.1-8.0,3,Beginner,0-2 Lakh,7,5-10 LPA,yes
170,Snehal,snehal@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2023,Jamnagar,8.3,8.1-9.0,7,Expert,0-2 Lakh,8,5-10 LPA,yes
171,Louis,louis@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Facebook,Facebook,,Students,2023,Junagadh,6.3,6.0 - 7.0,4,Beginner,0-2 Lakh,6,5-10 LPA,no 
172,Manisha,manisha@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Kheda,8.9,8.1-9.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no 
173,Rahul,rahul@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Others,Others,College,Students,2025,Morbi,9.5,9.1-10,5,Intermediate,0-2 Lakh,21,20-40LPA,yes
174,Parag,parag@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Cloud Counselage Website,Cloud Counselage Website,,Students,2024,Nadiad,8.5,8.1-9.0,4,Beginner,0-2 Lakh,5,5-10 LPA,yes
175,Ankita,ankita@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Email,Email,,Students,2024,Navsari,8.5,8.1-9.0,5,Intermediate,0-2 Lakh,21,20-40LPA,no
176,Dhanashri,dhanashri@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp | Email,Whatsapp ,,Students,2023,Okha,8.8,8.1-9.0,4,Beginner,0-2 Lakh,23,20-40LPA,no
177,Ayushi,ayushi@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2025,Rajkot,7.9,7.1-8.0,4,Beginner,0-2 Lakh,9,5-10 LPA,no
178,Raghav,raghav@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Whatsapp,Whatsapp,,Students,2025,Valsad,8.3,8.1-9.0,5,Intermediate,0-2 Lakh,5,5-10 LPA,no
179,Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2024,Ambala,6.4,6.0 - 7.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no
180,Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2026,Chandigarh,7.5,7.1-8.0,7,Expert,0-2 Lakh,19,10-20LPA,no
181,Sharvari,sharvari@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2024,Faridabad,7.7,7.1-8.0,4,Beginner,0-2 Lakh,18,10-20LPA,no
182,Tejas,tejas@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2025,Jind,7.9,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,yes
183,Sonal,sonal@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2025,Kaithal,7.7,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,no 
184,Yash,yash@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2026,Agartala,9.2,9.1-10,3,Beginner,0-2 Lakh,17,10-20LPA,yes
185,Amey,amey@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Agra,7.6,7.1-8.0,5,Intermediate,0-2 Lakh,13,10-20LPA,yes
186,Yash,yash@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp,Whatsapp,,Students,2025,Ghazipur,6.9,6.0 - 7.0,7,Expert,0-2 Lakh,19,10-20LPA,no
187,Rutuja,rutuja@xyz.com,1,Art of Resume Building,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",Others,Others,College,Students,2024,Ghaziabad,9.2,9.1-10,3,Beginner,0-2 Lakh,18,10-20LPA,yes
188,Yash,yash@xyz.com,1,Art of Resume Building,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Whatsapp,Whatsapp,,Students,2025,Gonda,6.9,6.0 - 7.0,7,Expert,0-2 Lakh,12,10-20LPA,no
189,Monika,monika@xyz.com,1,Art of Resume Building,Attending,Silicon Institute Of Technology,Youtube,Youtube,,Students,2024,Budaun,7.5,7.1-8.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,no
190,Yogesh ,yogesh@xyz.com,1,Art of Resume Building,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2023,Jhansi,6.9,6.0 - 7.0,4,Beginner,0-2 Lakh,13,10-20LPA,yes
191,Gouri,gouri@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Mainpuri,6.7,6.0 - 7.0,5,Intermediate,0-2 Lakh,6,5-10 LPA,yes
192,Samiksha,samiksha@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2026,Alipore,9,8.1-9.0,4,Beginner,0-2 Lakh,15,10-20LPA,no
193,Siddhesh,siddhesh@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2024,Haora,7.2,7.1-8.0,7,Expert,0-2 Lakh,17,10-20LPA,no
194,Pallavi,pallavi@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Hugli,6.5,6.0 - 7.0,5,Intermediate,0-2 Lakh,13,10-20LPA,no
195,Somnath,somnath@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,LinkedIn | Email,LinkedIn ,,Students,2023,Kolkata,6.6,6.0 - 7.0,5,Intermediate,0-2 Lakh,11,10-20LPA,no
196,Sayali,sayali@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Others,Others,College,Students,2024,Malda,9.5,9.1-10,4,Beginner,0-2 Lakh,12,10-20LPA,no
197,Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Email,Email,,Students,2023,Palashi,8.1,8.1-9.0,4,Beginner,0-2 Lakh,10,5-10 LPA,no
198,Santosh,santosh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2024,Santipur,9.7,9.1-10,4,Beginner,0-2 Lakh,10,5-10 LPA,no
199,Sakshi,sakshi@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2023,Silguri,9.1,9.1-10,3,Beginner,0-2 Lakh,15,10-20LPA,yes
200,Sudhir,sudhir@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2025,Talmuk,7.8,7.1-8.0,4,Beginner,0-2 Lakh,20,10-20LPA,no 
201,Vaibhavi,vaibhavi@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2024,Siuri,8.5,8.1-9.0,7,Expert,0-2 Lakh,9,5-10 LPA,yes
202,Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Youtube | Email,Youtube ,,Students,2023,Titagrah,8.7,8.1-9.0,4,Beginner,0-2 Lakh,9,5-10 LPA,no
203,Revati,revati@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2023,Orchha,8.3,8.1-9.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no
204,Manisha,manisha@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Others,Others,College,Students,2025,Sagar,9.4,9.1-10,5,Intermediate,0-2 Lakh,7,5-10 LPA,no
205,Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Satna,8.6,8.1-9.0,7,Expert,0-2 Lakh,21,20-40LPA,yes
206,Sandesh,sandesh@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email | Cloud Counselage Website,Youtube ,,Students,2025,Ujjain,8.5,8.1-9.0,7,Expert,0-2 Lakh,5,5-10 LPA,no
207,Pradnya ,pradnya@xyz.com,1,Art of Resume Building,Attending,Ap Shah Institute Of Technology ,Email,Email,,Students,2024,Akola,7.7,7.1-8.0,5,Intermediate,0-2 Lakh,21,20-40LPA,no
208,Suhas,suhas@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2023,Aurangabad,7.5,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
209,Apurva,apurva@xyz.com,1,Art of Resume Building,Attending,Pillai College Of Engineering New Panvel,Youtube,Youtube,,Students,2023,Bhandara,7.2,7.1-8.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,no
210,Vaishnavi ,vaishnavi@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2025,Bhsawal,7.6,7.1-8.0,7,Expert,0-2 Lakh,20,10-20LPA,yes
211,Mayur,mayur@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Cloud Counselage Website,Cloud Counselage Website,,Students,2024,Bid,7.3,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,yes
212,Ramita,ramita@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Facebook,Facebook,,Students,2024,Jalgaon,6.6,6.0 - 7.0,7,Expert,0-2 Lakh,17,10-20LPA,yes
213,Bhushan,bhushan@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Others,Others,College,Students,2023,Thane,8.5,8.1-9.0,7,Expert,0-2 Lakh,21,20-40LPA,no
214,Ganesh,ganesh@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Others,Others,College,Students,2024,Navi Mumbai,7.7,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
215,Dhruv,dhruv@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Email | Cloud Counselage Website,Email ,,Students,2025,Nagpur,7.9,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,yes
216,Yash,yash@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Facebook | Whatsapp,Facebook ,,Students,2023,Nanded,7.1,7.1-8.0,4,Beginner,0-2 Lakh,7,5-10 LPA,no
217,Abhay,abhay@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute Of Technology, Pune",Email,Email,,Students,2023,Amritsar,7.7,7.1-8.0,3,Beginner,0-2 Lakh,21,20-40LPA,no
218,Shraddha,shraddha@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2024,Patiala,8,7.1-8.0,7,Expert,0-2 Lakh,30,20-40LPA,no
219,Manan,manan@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2026,Sangrur,6.5,6.0 - 7.0,5,Intermediate,0-2 Lakh,24,20-40LPA,no
220,Suraj,suraj@xyz.com,1,Art of Resume Building,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Email,Email,,Students,2024,Jaipur,9.3,9.1-10,3,Beginner,0-2 Lakh,18,10-20LPA,yes
221,Kalyani,kalyani@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2023,Jalor,6.9,6.0 - 7.0,7,Expert,0-2 Lakh,9,5-10 LPA,yes
222,Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,N/A,Whatsapp | Others,Whatsapp ,College,Students,2026,Jodhpur,8.3,8.1-9.0,7,Expert,0-2 Lakh,8,5-10 LPA,no
223,Sarthak,sarthak@xyz.com,1,Art of Resume Building,Attending,Adhiyamaan College Of Engineering,Email,Email,,Students,2023,Sikar,9.5,9.1-10,3,Beginner,0-2 Lakh,8,5-10 LPA,no
224,Pratik ,pratik@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2024,Ahemdabad,9.6,9.1-10,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
225,Asis ,asis@xyz.com,1,Art of Resume Building,Attending,Pillai College Of Engineering New Panvel,Whatsapp,Whatsapp,,Students,2023,Amreli,7.5,7.1-8.0,4,Beginner,0-2 Lakh,9,5-10 LPA,no
226,Shivani ,shivani@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Others,Others,Friends,Students,2024,Dwarka,7.9,7.1-8.0,3,Beginner,0-2 Lakh,17,10-20LPA,no
